˙ㄑㄧㄚ qia ⠚⠾⠁ fu87 qia5 j)a
˙ㄑㄧㄝ qie ⠚⠬⠁ fu,7 qie5 j+a
˙ㄑㄧㄠ qiao ⠚⠪⠁ ful7 qiao5 j[a
˙ㄑㄧㄡ qiu ⠚⠎⠁ fu.7 qiu5 jsa
˙ㄑㄧㄢ qian ⠚⠞⠁ fu07 qian5 jta
˙ㄑㄧㄣ qin ⠚⠹⠁ fup7 qin5 j?a
˙ㄑㄧㄤ qiang ⠚⠨⠁ fu;7 qiang5 j.a
˙ㄑㄧㄥ qing ⠚⠽⠁ fu/7 qing5 jya
˙ㄑㄩ qu ⠚⠳⠁ fm7 qu5 j\a
˙ㄑㄩㄝ que ⠚⠦⠁ fm,7 que5 j8a
˙ㄑㄩㄢ quan ⠚⠘⠁ fm07 quan5 j^a
˙ㄑㄩㄣ qun ⠚⠲⠁ fmp7 qun5 j4a
˙ㄑㄩㄥ qiong ⠚⠖⠁ fm/7 qiong5 j6a
˙ㄒㄧ xi ⠑⠡⠁ vu7 xi5 e*a
˙ㄒㄧㄚ xia ⠑⠾⠁ vu87 xia5 e)a
˙ㄒㄧㄝ xie ⠑⠬⠁ vu,7 xie5 e+a
˙ㄒㄧㄠ xiao ⠑⠪⠁ vul7 xiao5 e[a
˙ㄒㄧㄡ xiu ⠑⠎⠁ vu.7 xiu5 esa
˙ㄒㄧㄢ xian ⠑⠞⠁ vu07 xian5 eta
˙ㄒㄧㄣ xin ⠑⠹⠁ vup7 xin5 e?a
˙ㄒㄧㄤ xiang ⠑⠨⠁ vu;7 xiang5 e.a
˙ㄒㄧㄥ xing ⠑⠽⠁ vu/7 xing5 eya
˙ㄒㄩ xu ⠑⠳⠁ vm7 xu5 e\a
˙ㄒㄩㄝ xue ⠑⠦⠁ vm,7 xue5 e8a
˙ㄒㄩㄢ xuan ⠑⠘⠁ vm07 xuan5 e^a
˙ㄒㄩㄣ xun ⠑⠲⠁ vmp7 xun5 e4a
˙ㄒㄩㄥ xiong ⠑⠖⠁ vm/7 xiong5 e6a
˙ㄓ zhi ⠁⠱⠁ 57 zhi5 a:a
